,id,label,comments
944,190485134,Bug,0
945,190485134,Information / Interface,0
946,190485134,Vehicle,0
947,190182261,Bug,4
948,190182261,Mapgen,4
949,190182261,Mods,4
950,190015887,Balance,4
951,190015887,Bug,4
952,190015887,Confirmation Needed,4
953,189940413,Bug,1
954,189940413,Confirmed,1
955,189940413,NPC,1
956,189898540,Bug,19
957,189898540,Information / Interface,19
958,189416645,Bug,6
959,189416645,Duplicate,6
960,189392152,Bug,9
961,188948019,Bug,3
962,188939483,Bug,0
963,188932214,Bug,4
964,188923237,Bug,7
965,188852864,Bug,3
966,188852864,Duplicate,3
967,188839385,Bug,5
968,188827045,Bug,1
969,188827045,Easy-fix,1
970,188827045,Mods,1
971,188681332,Bug,4
972,188681332,Easy-fix,4
973,188678456,Bug,1
974,188678456,Information / Interface,1
975,188678217,Bug,1
976,188678217,Information / Interface,1
977,188632006,Bug,2
978,188632006,Confirmation Needed,2
979,188632006,Vehicle,2
980,188569577,Bug,0
981,188569577,Vehicle,0
982,188432589,Bug,1
983,188432589,Mission,1
984,188345745,Bug,1
985,188345745,Mission,1
986,187593526,Bug,4
987,187593526,Confirmation Needed,4
988,187593526,Vehicle,4
989,187588977,Bug,2
990,187588977,Crafting / Construction,2
991,187585494,Bug,3
992,187585494,Vehicle,3
993,187579359,Bug,3
994,187542842,Bionics,4
995,187542842,Bug,4
996,187515451,Bug,4
997,187515451,Confirmation Needed,4
998,187515451,Other,4
999,187501711,Bug,8
1000,187493983,Bug,3
1001,187472269,Bug,2
1002,187472269,Mission,2
1003,187440553,Bug,1
1004,187440553,Duplicate,1
1005,187440553,Mods,1
1006,187415549,Bug,3
1007,187415549,Confirmed,3
1008,187412550,Bug,7
1009,187412550,Priority,7
1010,187402618,Bug,0
1011,187388159,Bug,4
1012,187243144,Bug,0
1013,187207727,Bug,2
1014,187195004,Bug,4
1015,187195004,Confirmed,4
1016,187195004,Duplicate,4
1017,187183270,Bug,8
1018,187166196,Bug,8
1019,187133321,Bug,4
1020,186682440,Bug,1
1021,186527247,Bug,0
1022,186492882,Bug,0
1023,186492882,Tests,0
1024,186416463,Bug,1
1025,186416463,Crafting / Construction,1
1026,186272300,Bug,5
1027,186272300,Confirmation Needed,5
1028,186247870,Bug,2
1029,186247870,Crash / Freeze,2
1030,186219980,Bug,3
1031,186104780,Bug,10
1032,186104780,Vehicle,10
1033,186104697,Bug,3
1034,186094864,Bug,0
1035,186045436,Bug,2
1036,186045436,Duplicate,2
1037,185997430,Bug,8
1038,185595350,Bug,1
1039,185595350,NPC,1
1040,185595350,Vehicle,1
